Date, Close/Last, Volume, Open, High, Low
2020-02-28, $273.36,106721200, $257.26, $278.41, $256.37
2020-02-27, $273.52,80151380, $281.1, $286, $272.96
2020-02-26, $292.65,49678430, $286.53, $297.88, $286.5
2020-02-25, $288.08,57668360, $300.95, $302.53, $286.13
2020-02-24, $298.18,55548830, $297.26, $304.18, $289.23
2020-02-21, $313.05,32426420, $318.62, $320.45, $310.5
2020-02-20, $320.3,25141490, $322.63, $324.65, $318.21
2020-02-19, $323.62,23495990, $320, $324.57, $320
2020-02-18, $319,38190550, $315.36, $319.75, $314.61
2020-02-14, $324.95,20028450, $324.74, $325.98, $322.85
2020-02-13, $324.87,23686890, $324.19, $326.22, $323.35
2020-02-12, $327.2,28432570, $321.47, $327.22, $321.47
2020-02-11, $319.61,23580780, $323.6, $323.9, $318.71
2020-02-10, $321.55,27337220, $314.18, $321.55, $313.85
2020-02-07, $320.03,29421010, $322.37, $323.4, $318
2020-02-06, $325.21,26356390, $322.57, $325.22, $320.2648
2020-02-05, $321.45,29706720, $323.52, $324.76, $318.95
2020-02-04, $318.85,34154130, $315.31, $319.64, $313.6345
2020-02-03, $308.66,43496400, $304.3, $313.49, $302.22
2020-01-31, $309.51,49897100, $320.93, $322.68, $308.29
2020-01-30, $323.87,31685810, $320.544, $324.09, $318.75
2020-01-29, $324.34,54149930, $324.45, $327.85, $321.38
2020-01-28, $317.69,40558490, $312.6, $318.4, $312.19
2020-01-27, $308.95,40485010, $310.06, $311.77, $304.88
2020-01-24, $318.31,36634380, $320.25, $323.33, $317.5188
2020-01-23, $319.23,26117990, $317.92, $319.56, $315.65
2020-01-22, $317.7,25458120, $318.58, $319.99, $317.31
2020-01-21, $316.57,27710810, $317.19, $319.02, $316
2020-01-17, $318.73,34454120, $316.27, $318.74, $315
2020-01-16, $315.24,27207250, $313.59, $315.7, $312.09
2020-01-15, $311.34,30480880, $311.85, $315.5, $309.55
2020-01-14, $312.68,40653460, $316.7, $317.57, $312.17
2020-01-13, $316.96,30521720, $311.64, $317.07, $311.15
2020-01-10, $310.33,35217270, $310.6, $312.67, $308.25
2020-01-09, $309.63,42621540, $307.235, $310.43, $306.2
2020-01-08, $303.19,33090950, $297.16, $304.4399, $297.156
2020-01-07, $298.39,27877660, $299.84, $300.9, $297.48
2020-01-06, $299.8,29644640, $293.79, $299.96, $292.75
2020-01-03, $297.43,36633880, $297.15, $300.58, $296.5
2020-01-02, $300.35,33911860, $296.24, $300.6, $295.19
2019-12-31, $293.65,25247630, $289.93, $293.68, $289.52
2019-12-30, $291.52,36059610, $289.46, $292.69, $285.22
2019-12-27, $289.8,36592940, $291.12, $293.97, $288.12
2019-12-26, $289.91,23334000, $284.82, $289.98, $284.7
2019-12-24, $284.27,12119710, $284.69, $284.89, $282.9197
2019-12-23, $284,24677880, $280.53, $284.25, $280.3735
2019-12-20, $279.44,69032740, $282.23, $282.65, $278.56
2019-12-19, $280.02,24626950, $279.5, $281.18, $278.95
2019-12-18, $279.74,29024690, $279.8, $281.9, $279.12
2019-12-17, $280.41,28575800, $279.57, $281.77, $278.8
2019-12-16, $279.86,32081110, $277, $280.79, $276.98
2019-12-13, $275.15,33432810, $271.46, $275.3, $270.93
2019-12-12, $271.46,34437040, $267.78, $272.5599, $267.321
2019-12-11, $270.77,19723390, $268.81, $271.1, $268.5
2019-12-10, $268.48,22632380, $268.6, $270.07, $265.86
2019-12-09, $266.92,32182650, $270, $270.8, $264.91
2019-12-06, $270.71,26547490, $267.48, $271, $267.3
2019-12-05, $265.58,18661340, $263.79, $265.89, $262.73
2019-12-04, $261.74,16810390, $261.07, $263.31, $260.68
2019-12-03, $259.45,29377270, $258.31, $259.53, $256.29
2019-12-02, $264.16,23693550, $267.27, $268.25, $263.45
2019-11-29, $267.25,11654360, $266.6, $268, $265.9
2019-11-27, $267.84,16386120, $265.58, $267.98, $265.31
2019-11-26, $264.29,26334880, $266.94, $267.16, $262.5
2019-11-25, $266.37,21029520, $262.71, $266.44, $262.52
2019-11-22, $261.78,16331260, $262.59, $263.18, $260.84
2019-11-21, $262.01,30348780, $263.69, $264.005, $261.18
2019-11-20, $263.19,26609920, $265.54, $266.083, $260.4
2019-11-19, $266.29,19069600, $267.9, $268, $265.3926
2019-11-18, $267.1,21700900, $265.8, $267.43, $264.23
